Year,REF_AREA,"Agriculture, forestry, and fishing, value added (% of GDP)","Energy productivity, GDP per unit of TES","Industry (including construction), value added (% of GDP)","Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions",Real GDP per capita,"Services, value added (% of GDP)"
2012,PHL,0.12306512306036471,9.526867157,0.27307206465163814,2.163323026,8.700206176,0.44150576768254524
2010,PHL,0.12882289465033925,9.475211492,0.2802008283511154,2.104134154,8.63473442,0.43120808854383635
2020,PHL,0.09699340783539728,9.590622364,0.24997956352301526,2.063058062,8.93320911,0.4788070861061132
2006,PHL,0.12540942821153733,9.376854311,0.28865099264696714,2.084429083,8.517429164,0.42641848219154044
2011,PHL,0.13186769244254792,9.500705841,0.27260916579190364,2.131796772,8.65294362,0.4354482998953755
2018,PHL,0.09212456931274257,9.587088397,0.26669135218257367,2.071913275,8.997452798,0.4686659818692591
2014,PHL,0.11575147654803251,9.556124829,0.2703892434004259,2.125847914,8.791832577,0.4490409004044005
2019,PHL,0.08452792970227894,9.639068779,0.26488038791081264,2.07819076,9.044672962,0.47531554848888774
2017,PHL,0.09697201727810428,9.556217529,0.2633372571104339,2.054123734,8.94834424,0.468067351494291
2012,SGP,0.0003326716586471034,9.755954594,0.2233211531420714,2.383242996,11.63179094,0.5259622474728611
2018,SGP,0.0003013106014011631,9.713305382,0.22629004869528407,2.564179831,11.81559521,0.5267488470722455
2006,SGP,0.000488534647513939,9.509557163,0.2692199153139044,2.218115936,11.36605186,0.5000286704751641
2020,SGP,0.0003278162623771987,9.636045267,0.20870942349864985,2.567254391,11.77398742,0.5431377668407551
2005,SGP,0.0005503295409153361,9.494910106,0.2731341542876257,2.148267733,11.29642257,0.49514238863928317
2021,SGP,0.0003072118056204772,9.675485342,0.21734567929006443,2.593761055,11.8598636,0.5334287794486576
2007,SGP,0.0004285881429793742,9.676678542,0.248622360137169,2.269028309,11.43633682,0.5070594315591508
2019,SGP,0.0003218362051721856,9.669712057,0.21528356156697628,2.576421759,11.82088645,0.5356830879383251
2008,SGP,0.0004142361923406739,9.553197893,0.23440263488175975,2.282382386,11.43830967,0.5208628526255958
2016,SGP,0.0003157481463071195,9.614616106,0.20900534502728146,2.494031558,11.75219454,0.5346941112975996
2017,SGP,0.00030796157496593444,9.598428708,0.21127386204658066,2.48823444,11.7882935,0.5327011522935987
2014,SGP,0.0003453493600444159,9.633613309,0.2164694835890158,2.446685437,11.70377786,0.5326575189399678
2011,SGP,0.0003460161295138726,9.861184775,0.22521813866895093,2.32238772,11.59600396,0.5248653456106569
2009,SGP,0.0004067952475925531,9.478598006,0.23914539142778168,2.274185618,11.41485564,0.5188299207387584
2010,SGP,0.0003614246782315866,9.682398764,0.2361456303483255,2.316487998,11.54034694,0.5178619135166043
2015,SGP,0.0003260818295410718,9.612130736,0.21743145149018175,2.452727751,11.72489069,0.5303395817541356
2013,SGP,0.0003436929308176267,9.685726987,0.2106071264887441,2.421256623,11.67191399,0.5351023813152735
2020,THA,0.08344784606532417,9.099131678,0.2873624438760096,1.785070481,9.726364261,0.4574655101361711
2013,THA,0.10725865075905015,8.971883924,0.3140702358075781,1.680827909,9.636529905,0.4172566221507509
2021,THA,0.08334703866150589,9.134350939,0.30047227965992523,1.822935087,9.740725064,0.4463412355632057
2011,THA,0.10967731107496066,9.018743936,0.3219486951559244,1.688249093,9.552156163,0.40830646762030587
2014,THA,0.09611823142447899,8.985519164,0.31307961018257013,1.701105101,9.641020883,0.4262348362389941
2010,THA,0.10004599899823917,9.008532586,0.33591297812247073,1.675225653,9.550003939,0.4025013785973932
2012,THA,0.10889117733013884,9.018089684,0.31731631432341306,1.686398954,9.615877477,0.41311712791952254
2005,THA,0.08795918459472586,8.993023562,0.3257377613142692,1.605429891,9.404059232,0.42068492354783515
2017,THA,0.08071705809432668,9.05240621,0.30024354205565384,1.778336449,9.733228155,0.44836384326902096
2019,THA,0.07815077756343279,9.109195403,0.28963449398582974,1.805004696,9.790435309,0.4591797714477222
2006,THA,0.08985892595442678,9.022203137,0.3303597066872143,1.637053079,9.444238683,0.4150929493433826
2008,THA,0.0959684521864209,9.030613047,0.3327482612241706,1.650579856,9.498588284,0.4084470124756465
2009,THA,0.09337224686106645,9.027677557,0.3264839399687816,1.678963975,9.484274371,0.41610409551234107
2007,THA,0.08936238761377452,9.038209513,0.33240233651634055,1.654411278,9.489161552,0.4135717827153512
2018,THA,0.07882799451583418,9.110375275,0.2981952871828237,1.821318271,9.771552599,0.45143027684398135
2015,THA,0.08500934058482118,9.008424902,0.30880131277957185,1.702928256,9.667270793,0.4379200296967063
2016,THA,0.08137791127696153,9.010965836,0.30444158445999986,1.743968805,9.696527342,0.4442700784421184
2017,VNM,0.12159690471424314,9.329940423,0.30299200578335256,1.677096561,9.052211791,0.354738139643601
2012,VNM,0.15013842089922652,9.206840254,0.3064564683580266,1.743968805,8.797941279,0.33015834661662435
2011,VNM,0.15065155215713918,9.166134534,0.29699166936592153,1.693779061,8.756073075,0.32863456285707765
2008,VNM,0.18575850953282197,9.175403112,0.315377706091588,1.731655545,8.617038526,0.35423609025132463
2007,VNM,0.17105077700668536,9.187730689,0.3257840704130448,1.78339122,8.580246861,0.35650785848073463
2016,VNM,0.12943273935899596,9.300148169,0.29352916161005527,1.633154439,8.997560432,0.3566563737663078
2013,VNM,0.14163507652872806,9.23365252,0.3043559160874864,1.74745921,8.840179182,0.3403362623633035
2010,VNM,0.14301829296679353,9.105702928,0.28535093571261266,1.642872689,8.70544049,0.3409434543838932
2005,VNM,0.17647096625071731,9.149573928,0.3230333370606814,1.774952351,8.474851292,0.35465507377376726
2018,VNM,0.11606305422489267,9.234544085,0.31146524772693207,1.54329811,9.113119969,0.351859794993741
2014,VNM,0.13872095638938348,9.183760229,0.3023137689405148,1.715598108,8.890274217,0.3430477795611545
2009,VNM,0.1753679354765277,9.14047462,0.3176402104821551,1.691939134,8.654639411,0.3607700242401349
2019,VNM,0.11140298054148845,9.187248802,0.3133727494930131,1.451613827,9.174440618,0.3539523005065441
2015,VNM,0.13518388076360732,9.331844476,0.29465679194748856,1.669591835,8.945408213,0.35201516561547064
2006,VNM,0.1716547472895798,9.192413644,0.3263117287538321,1.808288771,8.529066425,0.355493630963232
2020,VNM,0.11916344778234217,9.202172102,0.3129382820451789,1.444563269,9.193415959,0.3494671529108456
2021,VNM,0.11869897605487645,9.248471068,0.31766446918780933,1.497388409,9.209942293,0.345413855925607
